date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:51	70/70	---M-Z	200	added ('OK')	text/plain	date:Sun,%2029%20Aug%202021%2013:50:50%20GMT	https://boldgains.com.ng/robots.txt		(from )
13:50:51	66029/66029	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Aug%202021%2013:50:51%20GMT	https://boldgains.com.ng/	/home/ace/websites/boldgains/boldgains.com.ng/index.html	(from )
13:50:53	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2029%20Aug%202021%2013:50:52%20GMT	http://www.googletagmanager.com/	/home/ace/websites/boldgains/www.googletagmanager.com/index.html	(from https://boldgains.com.ng/)
13:50:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Aug%202021%2013:50:53%20GMT	http://s.w.org/	/home/ace/websites/boldgains/s.w.org/index.html	(from https://boldgains.com.ng/)
13:50:55	1597/1597	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Aug%202021%2013:50:52%20GMT	http://fonts.googleapis.com/	/home/ace/websites/boldgains/fonts.googleapis.com/index.html	(from https://boldgains.com.ng/)
13:50:55	72358/72358	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20May%202021%2013:17:39%20GMT	https://boldgains.com.ng/wp-content/uploads/2021/05/boldgains-logo.jpg	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/uploads/2021/05/boldgains-logo.jpg	(from https://boldgains.com.ng/)
13:50:55	704/704	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20May%202021%2011:35:48%20GMT	https://boldgains.com.ng/wp-content/plugins/thrive-visual-editor/landing-page/templates/css/base.css?ver=2.6.9.1	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/thrive-visual-editor/landing-page/templates/css/base3171.css	(from https://boldgains.com.ng/)
13:50:55	80574/80574	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Jul%202021%2023:30:06%20GMT	https://boldgains.com.ng/wp-includes/css/dist/block-library/style.min.css?ver=5.8	/home/ace/websites/boldgains/boldgains.com.ng/wp-includes/css/dist/block-library/style.min41a3.css	(from https://boldgains.com.ng/)
13:50:56	2640/2640	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jul%202021%2020:53:38%20GMT	https://boldgains.com.ng/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.2	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/contact-form-7/includes/css/styles7661.css	(from https://boldgains.com.ng/)
13:50:57	3698/3698	---M--	200	added ('OK')	application/rss+xml	etag:%22a93b441f7d6290332caa9c4a30be5b29%22	https://boldgains.com.ng/feed/	/home/ace/websites/boldgains/boldgains.com.ng/feed/index.html	(from https://boldgains.com.ng/)
13:50:58	730/730	---M--	200	added ('OK')	application/rss+xml	etag:%222cd120986bd426a981eef6b8b36bb8ab%22	https://boldgains.com.ng/comments/feed/	/home/ace/websites/boldgains/boldgains.com.ng/comments/feed/index.html	(from https://boldgains.com.ng/)
13:50:58	152/152	---M--	200	added ('OK')	text/css	date:Tue,%2011%20May%202021%2011:35:49%20GMT	https://boldgains.com.ng/wp-content/plugins/thrive-visual-editor/editor/css/no-theme.css?ver=2.6.9.1	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/thrive-visual-editor/editor/css/no-theme3171.css	(from https://boldgains.com.ng/)
13:50:58	967685/967685	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20May%202021%2011:35:49%20GMT	https://boldgains.com.ng/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.6.9.1	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat3171.css	(from https://boldgains.com.ng/)
13:51:00	1603/1603	---MCZ	400	error ('Bad%20Request')	text/html	date:Sun,%2029%20Aug%202021%2013:50:59%20GMT	http://fonts.googleapis.com/css?family&ver=5.8	/home/ace/websites/boldgains/fonts.googleapis.com/css.6ef8c.delayed	(from https://boldgains.com.ng/)
13:51:00	30999/30999	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2012:08:11%20GMT	https://boldgains.com.ng/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://boldgains.com.ng/)
13:51:01	622/622	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jul%202021%2021:01:14%20GMT	https://boldgains.com.ng/wp-content/plugins/mailjet-for-wordpress/src/widget/css/front-widget.css?ver=5.2.12	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/mailjet-for-wordpress/src/widget/css/front-widgetc1ec.css	(from https://boldgains.com.ng/)
13:51:02	2681/2681	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Aug%202021%2016:01:56%20GMT	https://boldgains.com.ng/wp-content/plugins/mailin/css/mailin-front.css?ver=5.8	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/mailin/css/mailin-front41a3.css	(from https://boldgains.com.ng/)
13:51:03	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2023:30:07%20GMT	https://boldgains.com.ng/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	/home/ace/websites/boldgains/boldgains.com.ng/wp-includes/js/jquery/jquery.minaf6c.js	(from https://boldgains.com.ng/)
13:51:04	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2019:36:06%20GMT	https://boldgains.com.ng/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	/home/ace/websites/boldgains/boldgains.com.ng/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://boldgains.com.ng/)
13:51:05	87654/87654	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2023:30:07%20GMT	https://boldgains.com.ng/wp-includes/js/plupload/moxie.min.js?ver=1.3.5	/home/ace/websites/boldgains/boldgains.com.ng/wp-includes/js/plupload/moxie.mine34c.js	(from https://boldgains.com.ng/)
13:51:06	15612/15612	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2021%20Jan%202021%2000:05:18%20GMT	https://boldgains.com.ng/wp-includes/js/plupload/plupload.min.js?ver=2.1.9	/home/ace/websites/boldgains/boldgains.com.ng/wp-includes/js/plupload/plupload.min6c17.js	(from https://boldgains.com.ng/)
13:51:07	1232/1232	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2019%20Jul%202021%2021:01:14%20GMT	https://boldgains.com.ng/wp-content/plugins/mailjet-for-wordpress/src/widget/js/front-widget.js?ver=5.8	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/mailjet-for-wordpress/src/widget/js/front-widget41a3.js	(from https://boldgains.com.ng/)
13:51:09	12239/12239	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2007%20Aug%202021%2016:01:56%20GMT	https://boldgains.com.ng/wp-content/plugins/mailin/js/mailin-front.js?ver=1628352116	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/mailin/js/mailin-front9f73.js	(from https://boldgains.com.ng/)
13:51:10	103559/103559	---MC-	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2012:00:00%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-197628074-1	/home/ace/websites/boldgains/www.googletagmanager.com/gtag/jsb12c	(from https://boldgains.com.ng/)
13:51:12	14864/14864	---MC-	200	added ('OK')	application/json	date:Sun,%2029%20Aug%202021%2013:51:11%20GMT	https://boldgains.com.ng/wp-json/wp/v2/pages/22	/home/ace/websites/boldgains/boldgains.com.ng/wp-json/wp/v2/pages/22.json	(from https://boldgains.com.ng/)
13:51:15	176991/176991	---MC-	200	added ('OK')	application/json	date:Sun,%2029%20Aug%202021%2013:51:13%20GMT	https://boldgains.com.ng/wp-json/	/home/ace/websites/boldgains/boldgains.com.ng/wp-json/index.html	(from https://boldgains.com.ng/)
13:51:15	810/810	---M--	200	added ('OK')	text/xml	date:Sun,%2029%20Aug%202021%2013:51:14%20GMT	https://boldgains.com.ng/xmlrpc.php?rsd	/home/ace/websites/boldgains/boldgains.com.ng/xmlrpc0db0.php	(from https://boldgains.com.ng/)
13:51:16	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2006:19:12%20GMT	https://boldgains.com.ng/wp-includes/wlwmanifest.xml	/home/ace/websites/boldgains/boldgains.com.ng/wp-includes/wlwmanifest.xml	(from https://boldgains.com.ng/)
13:51:17	2541/2541	---M--	200	added ('OK')	application/json	date:Sun,%2029%20Aug%202021%2013:51:17%20GMT	https://boldgains.com.ng/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fboldgains.com.ng%2F	/home/ace/websites/boldgains/boldgains.com.ng/wp-json/oembed/1.0/embed2a5b.json	(from https://boldgains.com.ng/)
13:51:20	2650/2650	---M--	200	added ('OK')	text/xml	date:Sun,%2029%20Aug%202021%2013:51:20%20GMT	https://boldgains.com.ng/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fboldgains.com.ng%2F&format=xml	/home/ace/websites/boldgains/boldgains.com.ng/wp-json/oembed/1.0/embed6268	(from https://boldgains.com.ng/)
